714976,5,"Souleating Oviraptor (V.1 - Rare)","Wild Survivors",1,NM,English
715021,3,"Animadorned Archosaur (V.1 - Rare)","Wild Survivors",1,NM,English
714994,3,"Fire Formation - Tenki (V.1 - Rare)","Wild Survivors",1,NM,English
715025,2,"Allure of Darkness","Wild Survivors",1,NM,English
715000,1,"Foie Glasya de Nouvelles","Wild Survivors",1,NM,English
715007,5,"Recette de Personnel (Staff Recipe)","Wild Survivors",1,NM,English
714977,4,Babycerasaurus,"Wild Survivors",1,NM,English
715023,2,"Enemy Controller","Wild Survivors",1,NM,English
715019,4,"Impcantation Penciplume","Wild Survivors",1,NM,English
715007,1,"Recette de Personnel (Staff Recipe)","Wild Survivors",0,NM,English
714970,5,Frostosaurus,"Wild Survivors",1,NM,English
715002,1,"Baelgrill de Nouvelles","Wild Survivors",1,NM,English
714972,3,"Ultimate Conductor Tyranno (V.1 - Rare)","Wild Survivors",1,NM,English
714966,4,"Transcendosaurus Glaciasaurus","Wild Survivors",1,NM,English
714991,2,"Vanquish Soul - Continue?","Wild Survivors",1,NM,English
715022,2,"Impcantation Chalislime","Wild Survivors",1,NM,English
715020,2,"Impcantation Bookstone","Wild Survivors",1,NM,English
715018,3,"True King Lithosagym, the Disaster","Wild Survivors",1,NM,English
715032,2,"Eradicator Epidemic Virus","Wild Survivors",1,NM,English
714978,4,Petiteranodon,"Wild Survivors",1,NM,English
714993,5,"Vanquish Soul Calamity Caesar","Wild Survivors",1,NM,English
715006,2,"Recette de Viande (Meat Recipe)","Wild Survivors",1,NM,English
715005,1,"Recette de Poisson (Fish Recipe)","Wild Survivors",1,NM,English
714995,4,"Buerillabaisse de Nouvelles","Wild Survivors",1,NM,English
714975,4,Miscellaneousaurus,"Wild Survivors",1,NM,English
714984,1,"Vanquish Soul Pluton HG","Wild Survivors",1,NM,English
715013,2,"Impcantation Candoll","Wild Survivors",1,NM,English
715017,3,"Manju of the Ten Thousand Hands","Wild Survivors",1,NM,English
715009,5,"Chef's Special Recipe (V.1 - Rare)","Wild Survivors",1,NM,English
714974,4,"Giant Rex","Wild Survivors",1,NM,English
715012,3,"Hamburger Recipe","Wild Survivors",1,NM,English
715024,2,"Double Evolution Pill","Wild Survivors",1,NM,English
715031,3,"Deck Devastation Virus","Wild Survivors",1,NM,English
715033,3,"There Can Be Only One (V.1 - Rare)","Wild Survivors",1,NM,English
715028,2,"Pre-Preparation of Rites","Wild Survivors",1,NM,English
715030,3,"Lost World","Wild Survivors",1,NM,English
714979,3,"Evolzar Solda","Wild Survivors",1,NM,English
715027,4,"Fossil Dig (V.1 - Rare)","Wild Survivors",1,NM,English
715015,2,"Preparation of Rites","Wild Survivors",1,NM,English
715014,3,"Impcantation Talismandra","Wild Survivors",1,NM,English
714969,5,Supersoaring,"Wild Survivors",1,NM,English
714967,3,"Transcendosaurus Drillygnathus","Wild Survivors",1,NM,English
744296,3,"Foolish Burial","Valiant Smashers",1,NM,English
744289,2,"Archlord Kristya (V.1 - Rare)","Valiant Smashers",1,NM,English
744270,3,"Synchro Transmission","Valiant Smashers",1,NM,English
744247,1,"Mementotlan Mace","Valiant Smashers",1,NM,English
744291,2,"Meklord Emperor Granel","Valiant Smashers",1,NM,English
744292,3,"Abominable Unchained Soul","Valiant Smashers",1,NM,English
744255,4,"Supply Squad","Valiant Smashers",1,NM,English
744253,4,"Mementotlan Cranium Burst","Valiant Smashers",1,NM,English
744300,2,"Call of the Haunted","Valiant Smashers",1,NM,English
744297,1,"Valhalla, Hall of the Fallen","Valiant Smashers",0,NM,English
744282,5,"Protecting Spirit Loagaeth","Valiant Smashers",1,NM,English
744283,3,"Performage Trick Clown","Valiant Smashers",1,NM,English
744251,4,"Mementotlan Bone Back","Valiant Smashers",1,NM,English
744248,4,"Mementotlan Goblin","Valiant Smashers",1,NM,English
744243,4,"Mementotlan-Horned Dragon","Valiant Smashers",1,NM,English
744252,3,"Mementotlan Fracture Dance","Valiant Smashers",1,NM,English
744269,3,"Magic Planter","Valiant Smashers",1,NM,English
744298,3,"Advance Draw","Valiant Smashers",1,NM,English
744295,3,"Colossal Fighter","Valiant Smashers",1,NM,English
744290,3,"Meklord Emperor Wisel","Valiant Smashers",1,NM,English
744299,2,"Imperial Custom","Valiant Smashers",1,NM,English
744274,1,"Duralume, Vaalmonican Heathen Hallow","Valiant Smashers",1,NM,English
744288,3,"Dark Honest (V.1 - Rare)","Valiant Smashers",1,NM,English
744293,3,"Ibicella Lutea","Valiant Smashers",1,NM,English
744301,4,"Apophis the Swamp Deity","Valiant Smashers",1,NM,English
744268,4,"Angel of Zera","Valiant Smashers",1,NM,English
744286,2,"Stained Glass of Light & Dark","Valiant Smashers",1,NM,English
744285,3,"Number 41: Bagooska the Terribly Tired Tapir","Valiant Smashers",1,NM,English
744287,3,"Honest (V.1 - Rare)","Valiant Smashers",1,NM,English
744284,3,"Ghost Sister & Spooky Dogwood","Valiant Smashers",1,NM,English
744254,5,Terraforming,"Valiant Smashers",1,NM,English
744263,1,"Centur-Ion Bonds","Valiant Smashers",1,NM,English
744266,4,"Summoner Monk","Valiant Smashers",1,NM,English
744249,4,"Mementomictlan (V.1 - Rare)","Valiant Smashers",1,NM,English
744271,3,"Gravity Collapse","Valiant Smashers",1,NM,English
744278,2,"Vaalmonica Versare","Valiant Smashers",1,NM,English
744297,4,"Valhalla, Hall of the Fallen","Valiant Smashers",1,NM,English
744294,3,"Archnemeses Eschatos","Valiant Smashers",1,NM,English
744267,4,"Draco Berserker of the Tenyi","Valiant Smashers",1,NM,English
744261,2,"Stand Up Centur-Ion! (V.1 - Super Rare)","Valiant Smashers",1,NM,English
744256,4,"There Can Be Only One","Valiant Smashers",1,NM,English
465769,2,"Keeper of Dragon Magic","Toon Chaos",0,NM,English
465814,1,"Stardust Dragon (V.1 - Rare)","Toon Chaos",0,NM,English
465809,4,"Mudragon of the Swamp","Toon Chaos",0,NM,English
465759,2,"Envoy of Chaos","Toon Chaos",0,NM,English
465719,4,"Lightpulsar Dragon","Toon Chaos",0,NM,English
465749,1,"Curse of Dragonfire","Toon Chaos",0,NM,English
465784,2,"Masked HERO Vapor","Toon Chaos",0,NM,English
465779,2,"Masked HERO Goka","Toon Chaos",0,NM,English
465724,5,"Darkflare Dragon","Toon Chaos",0,NM,English
465739,1,"Black Luster Soldier - Sacred Soldier","Toon Chaos",1,NM,English
465764,3,"Elemental HERO Solid Soldier","Toon Chaos",0,NM,English
465739,3,"Black Luster Soldier - Sacred Soldier","Toon Chaos",0,NM,English
465794,3,"Masked HERO Dian","Toon Chaos",0,NM,English
465799,3,"Masked HERO Blast","Toon Chaos",0,NM,English
465774,1,"Micro Coder","Toon Chaos",0,NM,English
465744,5,"PSY-Framegear Gamma (V.1 - Rare)","Toon Chaos",0,NM,English
465754,3,"True King Lithosagym, the Disaster","Toon Chaos",0,NM,English
466164,4,"Gemini Ablation","Toon Chaos",0,NM,English
465824,1,"Number 75: Bamboozling Gossip Shadow","Toon Chaos",0,NM,English
465734,3,"Dwarf Star Dragon Planeter","Toon Chaos",0,NM,English
465699,5,"Witch of the Black Forest","Toon Chaos",0,NM,English
466154,4,Gearbreed,"Toon Chaos",0,NM,English
465854,2,"Cynet Codec","Toon Chaos",0,NM,English
465729,4,"Black Luster Soldier - Envoy of the Evening Twilight","Toon Chaos",0,NM,English
465704,4,"Chaos Sorcerer","Toon Chaos",0,NM,English
465844,2,"Chaos Zone","Toon Chaos",0,NM,English
465689,4,"PSY-Frame Driver","Toon Chaos",0,NM,English
465729,1,"Black Luster Soldier - Envoy of the Evening Twilight","Toon Chaos",1,NM,English
465819,2,"Number 68: Sanaphond the Sky Prison","Toon Chaos",0,NM,English
466184,1,"Magician of Hope","Toon Chaos",0,NM,English
465834,3,"Toon World","Toon Chaos",0,NM,English
465864,3,"Starlight Road","Toon Chaos",0,NM,English
466159,3,"Cross Over","Toon Chaos",0,NM,English
465829,3,Progleo,"Toon Chaos",0,NM,English
465714,5,"Chaos Emperor Dragon - Envoy of the End (V.1 - Rare)","Toon Chaos",0,NM,English
466129,1,"Eternal Chaos","Toon Chaos",0,NM,English
465839,3,Supervise,"Toon Chaos",0,NM,English
465849,2,"Pot of Desires (V.1 - Rare)","Toon Chaos",0,NM,English
465709,4,"Black Luster Soldier - Envoy of the Beginning (V.1 - Rare)","Toon Chaos",0,NM,English
466139,1,"Sublimation Knight","Toon Chaos",0,NM,English
466114,2,"Toon Terror","Toon Chaos",0,NM,English
466149,1,"Evocator Eveque","Toon Chaos",0,NM,English
465869,4,"Code Generator","Toon Chaos",0,NM,English
465694,3,Sangan,"Toon Chaos",0,NM,English
768738,1,"Gimmick Puppet Dreary Doll","Lost Art Promos",0,NM,English
778197,5,"The League of Uniform Nomenclature Strikes","The Infinite Forbidden",0,NM,English
778159,4,"Bettan Bat","The Infinite Forbidden",0,NM,English
778142,4,"Gimmick Puppet Rouge Doll","The Infinite Forbidden",0,NM,English
777790,4,"Moon of the Closed Heaven","The Infinite Forbidden",0,NM,English
778172,2,"Cosmic Tree Irmistil","The Infinite Forbidden",0,NM,English
778164,5,"DPH Gendamoore","The Infinite Forbidden",0,NM,English
778051,1,"Mimighoul Maker","The Infinite Forbidden",0,NM,English
777737,4,"Silvy of the White Forest","The Infinite Forbidden",0,NM,English
778198,5,"Kochobo's Hinamatsuri","The Infinite Forbidden",0,NM,English
778164,1,"DPH Gendamoore","The Infinite Forbidden",1,NM,English
778177,4,"Emblema Salvation","The Infinite Forbidden",0,NM,English
778178,4,"Vesper Girsu","The Infinite Forbidden",0,NM,English
778165,1,"Gimmick Puppet Fantasix Machinix","The Infinite Forbidden",0,NM,English
778145,3,"Dark End Evaporation Dragon","The Infinite Forbidden",0,NM,English
778196,2,"Necroquip Princess","The Infinite Forbidden",0,NM,English
778048,1,"Mimighoul Cerberus","The Infinite Forbidden",0,NM,English
777738,3,"Rucia of the White Forest","The Infinite Forbidden",0,NM,English
778194,1,Kuebiko,"The Infinite Forbidden",0,NM,English
778193,1,"Vulmina, Statue of the Sacred Dragon","The Infinite Forbidden",1,NM,English
778191,5,"Three in One","The Infinite Forbidden",0,NM,English
777535,3,"Fiend Reflection of the Millennium","The Infinite Forbidden",0,NM,English
778175,3,"Dragon's Light and Darkness","The Infinite Forbidden",0,NM,English
778160,5,Depresspard,"The Infinite Forbidden",0,NM,English
777782,2,"Fiendsmith's Lacrima","The Infinite Forbidden",0,NM,English
778179,2,"Trap Gatherer","The Infinite Forbidden",0,NM,English
778154,5,"Paralyzing Mushroom","The Infinite Forbidden",0,NM,English
778171,5,"Madolche Mini Meowcaroons","The Infinite Forbidden",0,NM,English
777743,1,"Beware the White Forest","The Infinite Forbidden",0,NM,English
778169,5,"Ragnaraika Selene Snapper","The Infinite Forbidden",0,NM,English
777532,5,"Golem that Guards the Millennium Treasures","The Infinite Forbidden",0,NM,English
